id,Brand,Price,Currency,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
26,microsoft,60.0,$,gray,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",the device is in good working & and cosmetic condition.,other,intel core i5 4th generation,1.90,GHz,notebook/laptop,2160.0,1440.0,windows,ssd,128.0,gb,128.0,gb,12,4.0,gb
27,lenovo,45.0,$,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Rugged, Built-in Microphone",Undefined,Undefined,undefined,intel,intel celeron n,1.10,GHz,notebook/laptop,1366.0,768.0,chrome,emmc,,unknown,16.0,gb,11.6,4.0,mb
28,hp,439.0,$,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,o4.2,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,2.0,tb,2.0,tb,15.6,32.0,gb
29,other,206.6,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",sehr guter technischer und optischer zustand. geringe gebrauchsspuren können vorhanden sein.,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
30,dell,345.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging. see the seller's listing for full details.",intel,intel core i5 7th generation,3.10,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,16.0,gb
31,other,242.0,$,gray,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,quad core,o3.4,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.6,16.0,gb
32,hp,420.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.20,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,2.0,tb,,unknown,14,,unknown
33,lenovo,73.0,$,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Multi-Touch Trackpad, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",fully tested working. windows 10 home installed and activated. complete and ready to use.,other,intel celeron n3160,1.60,GHz,notebook/laptop,1366.0,768.0,windows,ssd,,unknown,128.0,gb,11.6,,unknown
34,hp,209.0,$,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","tested working. the unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). see pictures for details. include ac adapter. as the battery is used, battery life is not guaranteed.",intel,i5-7200u,2.50,GHz,notebook/laptop,,,windows,ssd,,unknown,512.0,gb,15.6,16.0,gb
35,other,150.0,$,gray,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n4100,o2.8,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,gb,256.0,gb,14.1,8.0,gb
36,lenovo,799.0,$,gray,"Bluetooth, Wi-Fi",Undefined,Undefined,undefined,nvidia,intel core i7 12th generation,3.50,GHz,notebook/laptop,2560.0,1600.0,windows,ssd,,unknown,512.0,gb,16,16.0,gb
37,lenovo,100.0,$,brown,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","lenovo thinkpad t440 in used but well-maintained condition.pristine condition screen and keyboard.normal wear on exterior without deep scuffs, cracks, or dents.reliable performance with a 14"" touchscreen display.",intel,intel core i5-4300u,1.9,GHz,notebook/laptop,,,unknown,ssd,256.0,gb,256.0,gb,14,8.0,gb
38,dell,219.0,$,black,"Backlit Keyboard, Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,i7-7820hq,o3.9,GHz,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,gb,512.0,gb,15.61,16.0,gb
39,dell,152.5,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Anti-glare HD LED Display,  WLED Backlight",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","an item that has been used previously. the item may have some signs of cosmetic wear, but is fully operational and functions as intended. this item may be a floor model or store return that has been used. see the seller’s listing for full details and description of any imperfections.",intel,intel core i5-4200u,1.60,GHz,notebook/laptop,1366.0,768.0,windows,ssd,,unknown,256.0,gb,14,8.0,gb
40,other,269.5,$,gray,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n5100,2.80,GHz,notebook/laptop,2256.0,1504.0,windows,ssd,12.0,gb,512.0,gb,13.5,12.0,gb
